??  Excel Assignment — 50 Questions  |  TechVista Dataset,,,,
Instructions: Write your answers in column D. Use the Employee_Sales_Data sheet as your dataset.,,,,
#,Function Used,Question,Your Answer,Hint / Column Reference
1,AVERAGE,What is the average Basic Salary of all 50 employees?,66420,Col H (Basic Salary)
2,AVERAGE,What is the average Age of all employees in the dataset?,33.48,Col F (Age)
3,AVERAGE,What is the average Sales Amount across all employees who have a non-zero sales figure?,179833.3333,Col I (Sales Amount)
4,AVERAGE,What is the average Bonus paid to all employees (include zeros)?,6294.4,Col N (Bonus)
5,AVERAGE,What is the average number of years of Experience across all employees?,6,Col M (Experience)
6,SUM,What is the total Basic Salary paid to all 50 employees?,3321000,Col H (Basic Salary)
7,SUM,What is the combined total of all Sales Amounts in the dataset?,4316000,Col I (Sales Amount)
8,SUM,What is the total Bonus amount distributed among all employees?,314720,Col N (Bonus)
9,SUM,What is the total Sales Target set across all employees?,88000,Col J (Sales Target)
10,SUM,What is the sum of salaries of employees whose Experience is more than 5 years? (Use SUM only — manually filter visually),2019000,Col H & Col M
11,COUNT,How many employees have a numeric Bonus value? (Use COUNT),50,Col N (Bonus)
12,COUNT,How many numeric entries are there in the Sales Amount column?,50,Col I (Sales Amount)
13,COUNT,How many employees have a numeric Age recorded?,33.48,Col F (Age)
14,COUNT,Use COUNT on the Date of Joining column — how many date entries exist?,50,Col G (Date of Joining)
15,COUNTA,How many employees have their Performance Rating filled in? (Use COUNTA),50,Col K (Performance Rating)
16,COUNTA,How many entries are in the Employee Name column? (Use COUNTA),50,Col B (Employee Name)
17,COUNTA,How many employees have a City recorded? (Use COUNTA),50,Col D (City)
18,COUNTBLANK,How many employees have a blank Bonus value? (Use COUNTBLANK),0,Col N (Bonus)
19,COUNTBLANK,How many cells are blank in the Sales Amount column? (Use COUNTBLANK),0,Col I (Sales Amount)
20,COUNTBLANK,How many blank cells exist in the Sales Target column? (Use COUNTBLANK),0,Col J (Sales Target)
21,IF,"Create a new column: If an employee's Bonus > 0, write 'Bonus Received', else write 'No Bonus'.",,Col N (Bonus) ? New Col
22,IF,"Create a column: If Sales Amount > Sales Target, write 'Target Achieved', else 'Target Missed'.",,Col I vs Col J
23,IF,"Create a column: If Basic Salary >= 80000, label as 'Senior Pay Band', else 'Junior Pay Band'.",,Col H (Basic Salary)
24,IF,"Create a column: If Status = 'Active', write 'Current Employee', else write 'Ex-Employee'.",,Col L (Status)
25,IF,"Create a column: If Age > 40, write 'Veteran', else write 'Young Talent'.",,Col F (Age)
26,Nested IF,"Create a Salary Grade column: <50000='Grade C', 50000–79999='Grade B', >=80000='Grade A'.",,Col H (Basic Salary)
27,Nested IF,"Create a Performance Score: 'Excellent'=5, 'Good'=4, 'Average'=3, 'Below Avg'=2.",,Col K (Performance Rating)
28,Nested IF,"Create an Experience Level: <3 yrs='Fresher', 3–7='Mid Level', >7='Senior'.",,Col M (Experience)
29,Nested IF,"Create a Sales Achievement Band: Achieved & Excellent='Star', Achieved & others='Achiever', Missed='Needs Improvement'.",,"Col I, Col J, Col K"
30,Nested IF,"Classify employees by Age: <30='Gen Z', 30–40='Millennial', >40='Gen X'.",,Col F (Age)
31,Nested IF,"Create a Bonus Tier: Bonus=0 ? 'No Bonus', 1–8000 ? 'Standard', >8000 ? 'Premium'.",,Col N (Bonus)
32,COUNTIF,How many employees are in the 'Sales' department?,24,Col C (Department)
33,COUNTIF,How many employees are 'Active'?,46,Col L (Status)
34,COUNTIF,How many employees have a 'Good' Performance Rating?,19,Col K (Performance Rating)
35,COUNTIF,How many female employees are in the dataset?,25,Col E (Gender)
36,COUNTIF,How many employees are based in Mumbai?,10,Col D (City)
37,SUMIF,What is the total salary paid to employees in the 'Finance' department?,867000,Col C & Col H
38,SUMIF,What is the total Bonus given only to 'Active' employees?,314720,Col L & Col N
39,SUMIF,What is the total Sales Amount generated by employees in 'Chennai'?,823000,Col D & Col I
40,SUMIF,What is the total salary of all 'Male' employees?,1900000,Col E & Col H
41,AVERAGEIF,What is the average salary of employees in the 'IT' department?,62333.33333,Col C & Col H
42,AVERAGEIF,What is the average Sales Amount for employees with 'Excellent' rating?,63833.33333,Col K & Col I
43,AVERAGEIF,What is the average Bonus of employees with Experience > 5 years? (Adjust AVERAGEIF criteria accordingly),65375,Col M & Col N
44,SUMIFS,What is the total salary of Female employees in the 'Sales' department?,1021000,"Col H, Col E, Col C"
45,SUMIFS,What is the total Bonus given to Active employees with 'Excellent' rating?,158620,"Col N, Col L, Col K"
46,SUMIFS,What is the total Sales Amount by Male employees from Bangalore?,142000,"Col I, Col E, Col D"
47,SUMIFS,What is the total salary of Active IT employees with more than 4 years of experience?,2056000,"Col H, Col L, Col C, Col M"
48,AVERAGEIFS,What is the average salary of Female employees in the Finance department?,90000,"Col H, Col E, Col C"
49,AVERAGEIFS,What is the average Sales Amount of Active employees in Mumbai with Good or above rating? (Split into two AVERAGEIFS if needed),122833.3333,"Col I, Col L, Col D, Col K"
50,AVERAGEIFS,What is the average Bonus of Male employees who are Active and have Experience > 5 years?,9178.461538,"Col N, Col E, Col L, Col M"
